K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
5,0.005,0.0005,128,3,0.0024603556375950575,0.6042325496673584,1.936266
6,0.001,1e-05,128,3,0.0006341135012917221,0.3208651840686798,1.9398912
8,0.01,0.0005,64,2,0.0013412164989858866,0.4620174169540405,1.9610459
5,0.01,0.0005,64,3,0.0021005619782954454,0.5752608776092529,1.9789932
7,0.005,0.0001,128,1,0.0007807103102095425,0.360126256942749,1.9984012
8,0.005,0.0005,128,3,0.0016677756793797016,0.5123456120491028,2.0122962
6,0.001,5e-05,64,2,0.0008558814879506826,0.3756718039512634,2.0140193
6,0.005,0.0001,64,3,0.0008945649606175721,0.37306520342826843,2.020898
8,0.001,5e-05,128,3,0.0006437512929551303,0.32053855061531067,2.0249288
7,0.005,1e-05,32,2,0.0009761069668456912,0.3918807804584503,2.0275266
7,0.01,0.0005,64,2,0.001834647380746901,0.5217755436897278,2.033135
7,0.001,0.0005,128,3,0.0017000363441184163,0.5205410718917847,2.0332425
8,0.01,0.0001,64,1,0.000676864932756871,0.33574971556663513,2.0415273
8,0.001,5e-05,128,2,0.001031695050187409,0.3853664696216583,2.0482838
5,0.001,1e-05,64,3,0.0006159782060422003,0.32112768292427063,2.0759363
8,0.001,1e-05,128,3,0.0006512352847494185,0.3251178562641144,2.0776505
5,0.01,1e-05,128,1,0.0007203369750641286,0.337577760219574,2.0804133
5,0.01,5e-05,64,3,0.0007755166152492166,0.3602418005466461,2.1028986
8,0.005,5e-05,128,2,0.0006997991004027426,0.32714009284973145,2.1080186
7,0.01,0.0005,32,3,0.0010611549951136112,0.41927969455718994,2.1415722
7,0.001,1e-05,128,3,0.0006446500774472952,0.31855735182762146,2.1417649
5,0.005,0.0001,128,1,0.0006826194003224373,0.3240243196487427,2.1464324
8,0.001,1e-05,128,2,0.0005972810322418809,0.31051304936408997,2.1599243
6,0.001,1e-05,128,2,0.0006978359306231141,0.3410898745059967,2.175621
6,0.001,0.0001,128,3,0.001615573070012033,0.5001118183135986,2.1850715
7,0.001,5e-05,128,1,0.0011506103910505772,0.416564017534256,2.1871324
7,0.01,0.0005,128,2,0.001880635041743517,0.5191441178321838,2.198915
5,0.001,0.0001,128,3,0.0010490331333130598,0.388802707195282,2.222369
5,0.005,0.0005,32,1,0.001011932035908103,0.40709665417671204,2.2276459
6,0.005,0.0001,64,2,0.0006583392969332635,0.3153185546398163,2.2323864
7,0.005,0.0005,64,3,0.00164820346981287,0.510325014591217,2.2799811
8,0.001,1e-05,64,3,0.0006438055424951017,0.3179957866668701,2.293816
6,0.005,5e-05,64,3,0.0008844800759106874,0.37338486313819885,2.2954779
5,0.005,0.0005,64,1,0.0009307867148891091,0.38506075739860535,2.2969697
7,0.005,0.0005,32,1,0.0011017118813470006,0.4181039333343506,2.3028848
7,0.005,0.0005,64,1,0.0012409810442477465,0.4497557580471039,2.3240151
8,0.005,1e-05,32,2,0.0005065096192993224,0.2871416211128235,2.3248749
6,0.01,0.0001,128,2,0.0007927210535854101,0.3545953333377838,2.3319125
7,0.005,0.0001,32,1,0.0007885701488703489,0.3514815866947174,2.3364923
7,0.005,1e-05,64,3,0.0007931549334898591,0.3507852554321289,2.336621
5,0.001,0.0001,128,1,0.0007659384282305837,0.34866416454315186,2.3607335
8,0.005,0.0005,64,3,0.0015920813893899322,0.49563294649124146,2.3653147
7,0.01,1e-05,32,3,0.0007059801137074828,0.32689207792282104,2.3858893
8,0.005,5e-05,64,1,0.0008194800466299057,0.33993464708328247,2.3899775
