K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
8,0.001,0.0001,32,1,0.0014346841489896178,0.46739664673805237,0.41730114817619324
6,0.01,0.0001,64,2,0.0014645378105342388,0.4683859348297119,0.4724489450454712
8,0.001,5e-05,128,1,0.001459643361158669,0.46844998002052307,0.44833996891975403
6,0.005,1e-05,128,1,0.0014067249139770865,0.4687073528766632,0.509885847568512
6,0.005,1e-05,64,3,0.0014598030829802155,0.46912792325019836,0.4274350702762604
5,0.01,5e-05,64,3,0.001408889191225171,0.4694215655326843,0.4715428948402405
8,0.005,5e-05,64,3,0.0014627708587795496,0.469884991645813,0.5027693510055542
7,0.005,0.0001,64,3,0.001486336113885045,0.47031304240226746,0.4641993045806885
5,0.01,0.0001,64,3,0.0014563313452526927,0.4711781144142151,0.4694128632545471
8,0.001,5e-05,32,3,0.001518507837317884,0.4712297320365906,0.43779775500297546
8,0.001,5e-05,32,1,0.0014417058555409312,0.47126731276512146,0.4245232939720154
6,0.01,0.0005,32,3,0.001548111205920577,0.47160041332244873,0.804980456829071
6,0.01,0.0001,64,3,0.0015495053958147764,0.4731671214103699,0.49539899826049805
8,0.001,0.0001,32,3,0.0015713529428467155,0.4742806553840637,0.4420117437839508
8,0.005,0.0001,64,1,0.0015125919599086046,0.4745715260505676,0.45107147097587585
5,0.01,0.0001,128,1,0.0014149006456136703,0.47654274106025696,0.577873706817627
6,0.001,0.0001,64,3,0.0016375078121200204,0.47741803526878357,0.43994778394699097
6,0.001,5e-05,128,2,0.0015288358554244041,0.47812768816947937,0.47178444266319275
8,0.005,0.0001,64,3,0.0014726117951795459,0.47836941480636597,0.45893192291259766
8,0.01,0.0001,128,3,0.0014228622894734144,0.4791940152645111,0.43135276436805725
5,0.01,0.0005,32,1,0.001567523693665862,0.4798525869846344,0.5222036242485046
8,0.01,0.0001,64,2,0.0015007290057837963,0.4801694452762604,0.6746016144752502
6,0.01,0.0005,32,1,0.0016314260428771377,0.4819042384624481,0.505477786064148
6,0.01,5e-05,128,3,0.0014295218279585242,0.48234301805496216,0.5998105406761169
7,0.01,0.0001,64,3,0.0015044881729409099,0.4825145900249481,0.7364388108253479
6,0.001,0.0001,64,2,0.001539880409836769,0.48320046067237854,0.4348137378692627
8,0.005,0.0001,128,2,0.0016035155858844519,0.48321521282196045,0.4631936848163605
5,0.001,5e-05,64,2,0.0016107072588056326,0.4832799434661865,0.4881382882595062
