K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
6,0.005,1e-05,128,1,0.3885640501976013,0.5514506697654724
8,0.01,0.0001,64,2,0.41311967372894287,0.5515636205673218
8,0.005,0.0001,32,3,0.34610068798065186,0.5515687465667725
5,0.001,5e-05,64,3,0.36126065254211426,0.5521043539047241
7,0.005,5e-05,128,3,0.36146384477615356,0.5522733926773071
5,0.005,5e-05,32,1,0.3856624960899353,0.5523622035980225
6,0.005,5e-05,32,2,0.39451053738594055,0.5525695085525513
6,0.01,1e-05,32,1,0.36166542768478394,0.5527738332748413
8,0.005,5e-05,32,3,0.3491518497467041,0.5527887344360352
8,0.01,5e-05,32,2,0.3653792142868042,0.5529745817184448
7,0.01,5e-05,64,3,0.3616550862789154,0.5532562732696533
5,0.005,1e-05,64,2,0.4073689579963684,0.5533756613731384
7,0.005,5e-05,32,1,0.3708025813102722,0.5534701347351074
7,0.01,0.0005,128,1,0.41919559240341187,0.5534753799438477
8,0.01,5e-05,32,3,0.35304248332977295,0.5537046194076538
8,0.01,1e-05,128,1,0.3618842363357544,0.5538785457611084
8,0.005,0.0005,64,1,0.41198354959487915,0.5539388060569763
7,0.01,0.0001,128,3,0.4042426347732544,0.5539741516113281
6,0.005,0.0001,32,3,0.391057550907135,0.5542874336242676
8,0.01,0.0005,128,1,0.4285801649093628,0.5543477535247803
6,0.005,0.0001,64,1,0.37530791759490967,0.5546931624412537
6,0.005,1e-05,64,3,0.3654339909553528,0.5548422932624817
6,0.005,1e-05,32,1,0.4034923017024994,0.555036187171936
5,0.001,0.0001,32,2,0.42854198813438416,0.5550369620323181
8,0.01,5e-05,128,1,0.33196985721588135,0.5557387471199036
5,0.01,0.0001,32,1,0.408788800239563,0.5559172630310059
5,0.005,1e-05,128,1,0.37745675444602966,0.556352972984314
8,0.005,1e-05,128,2,0.3442382216453552,0.5567259192466736
6,0.01,0.0005,32,3,0.41823068261146545,0.5568028688430786
8,0.005,0.0001,64,2,0.4022770822048187,0.5570858120918274
6,0.01,5e-05,128,2,0.3833565413951874,0.5571248531341553
8,0.005,5e-05,128,2,0.36259448528289795,0.5575221180915833
6,0.005,0.0001,64,2,0.3855894207954407,0.5578790307044983
8,0.005,0.0001,128,3,0.37507691979408264,0.5579390525817871
8,0.01,5e-05,32,1,0.35348695516586304,0.5579645037651062
5,0.01,1e-05,32,1,0.3883601725101471,0.5579674243927002
7,0.005,0.0005,32,3,0.38716644048690796,0.5580236315727234
5,0.001,5e-05,32,1,0.41355180740356445,0.5586888790130615
7,0.001,5e-05,32,2,0.39938342571258545,0.5592821836471558
8,0.01,1e-05,32,1,0.34922903776168823,0.5602587461471558
5,0.01,5e-05,32,1,0.40182751417160034,0.560266375541687
5,0.005,5e-05,128,2,0.389010488986969,0.5606266856193542
5,0.01,0.0001,32,3,0.3787164092063904,0.5613045692443848
6,0.01,0.0001,128,2,0.38240867853164673,0.5617611408233643
7,0.001,1e-05,32,2,0.40744468569755554,0.5625975131988525
5,0.01,1e-05,64,2,0.40098896622657776,0.5627166032791138
6,0.01,0.0001,32,3,0.36324548721313477,0.5627235770225525
8,0.005,1e-05,32,2,0.35386234521865845,0.5629870295524597
5,0.01,0.0005,64,2,0.4365057349205017,0.5630297064781189
5,0.001,0.0001,32,1,0.4126143157482147,0.563862144947052
6,0.005,1e-05,32,2,0.39427322149276733,0.5643821954727173
5,0.01,0.0001,64,2,0.40563902258872986,0.564519464969635
6,0.01,5e-05,64,2,0.4170783758163452,0.5646739602088928
5,0.005,0.0001,128,3,0.43549150228500366,0.5648053884506226
7,0.005,5e-05,32,2,0.36548495292663574,0.5649972558021545
7,0.005,1e-05,128,3,0.3649085760116577,0.56516432762146
5,0.01,5e-05,128,3,0.4814951717853546,0.5655419826507568
7,0.001,0.0001,32,2,0.3931453227996826,0.5656886696815491
5,0.01,0.0001,64,1,0.4387158155441284,0.565780520439148
6,0.01,1e-05,128,1,0.3779933452606201,0.5658332109451294
5,0.01,1e-05,64,1,0.347304105758667,0.5659531354904175
8,0.01,0.0001,32,1,0.34584179520606995,0.5660423040390015
5,0.005,0.0005,128,3,0.4273297190666199,0.5665587186813354
7,0.01,0.0001,32,3,0.3559172451496124,0.5667678117752075
5,0.005,0.0001,64,3,0.3925783038139343,0.5672418475151062
7,0.01,1e-05,32,1,0.36562424898147583,0.5675936937332153
8,0.01,1e-05,32,2,0.36828839778900146,0.5682635307312012
8,0.005,5e-05,64,3,0.3479718267917633,0.5693233609199524
5,0.001,1e-05,32,1,0.4188094735145569,0.5693387389183044
5,0.01,5e-05,32,3,0.41197288036346436,0.5702735781669617
8,0.005,1e-05,64,2,0.3729124367237091,0.5707043409347534
7,0.01,0.0001,128,2,0.38574135303497314,0.5711057186126709
7,0.005,0.0001,128,3,0.37656599283218384,0.5720241665840149
7,0.005,1e-05,32,2,0.3572843670845032,0.5723626613616943
5,0.01,5e-05,128,1,0.3839722275733948,0.572378933429718
6,0.01,5e-05,64,3,0.37041938304901123,0.5727903246879578
6,0.005,5e-05,64,3,0.3692821264266968,0.5739886164665222
8,0.01,1e-05,64,1,0.352628231048584,0.5742615461349487
5,0.01,0.0001,64,3,0.4290068745613098,0.5755255222320557
